name,year,imdb,metascore,votes,n_imdb
Snowden,2016,7.3,58,101134,73.0
Kung Fu Panda 3,2016,7.1,66,100377,71.0
Jack Reacher: Never Go Back,2016,6.1,47,100012,61.0
"Hail, Caesar!",2016,6.3,72,99645,63.0
The Great Wall,2016,6.0,42,94660,60.0
Sing,2016,7.1,59,93962,71.0
The Shallows,2016,6.3,59,91980,63.0
Kubo and the Two Strings,2016,7.8,84,89543,78.0
13 Hours,2016,7.3,48,89217,73.0
Neighbors 2: Sorority Rising,2016,5.7,58,88793,57.0
Dirty Grandpa,2016,5.9,21,88302,59.0
Nerve,2016,6.6,58,87867,66.0
Bad Moms,2016,6.2,60,86768,62.0
Lights Out,2016,6.3,58,86608,63.0
Busanhaeng,2016,7.5,72,83414,75.0
Gods of Egypt,2016,5.4,25,83277,54.0
Allegiant,2016,5.7,33,81935,57.0
The 5th Wave,2016,5.2,33,81514,52.0
Kimi no na wa.,2016,8.5,79,79596,85.0
Swiss Army Man,2016,7.0,64,76976,70.0
Why Him?,2016,6.2,39,76647,62.0
Money Monster,2016,6.5,55,76510,65.0
The Founder,2016,7.2,66,76413,72.0
The Huntsman: Winter's War,2016,6.1,35,76160,61.0
Grimsby,2016,6.2,44,72476,62.0
Silence,2016,7.2,79,71912,72.0
Fences,2016,7.2,79,71748,72.0
Hunt for the Wilderpeople,2016,7.9,81,70193,79.0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40,68660,60.0
The Edge of Seventeen,2016,7.4,77,68067,74.0
Alice Through the Looking Glass,2016,6.2,34,67717,62.0
How to Be Single,2016,6.1,51,66758,61.0
Collateral Beauty,2016,6.8,23,66018,68.0
Mike and Dave Need Wedding Dates,2016,6.0,51,65967,60.0
Eddie the Eagle,2016,7.4,54,65156,74.0
Sing Street,2016,8.0,79,64646,80.0
The Purge: Election Year,2016,6.0,55,64622,60.0
Resident Evil: The Final Chapter,2016,5.6,49,64610,56.0
Angry Birds,2016,6.3,43,62492,63.0
Midnight Special,2016,6.6,76,61829,66.0
The Neon Demon,2016,6.2,51,61722,62.0
Patriots Day,2016,7.4,69,61157,74.0
The BFG,2016,6.4,66,60631,64.0
Hush,2016,6.6,67,59371,66.0
The Boy,2016,6.0,42,58778,60.0
A Monster Calls,2016,7.5,76,58470,75.0
Mechanic: Resurrection,2016,5.7,38,57923,57.0
The Autopsy of Jane Doe,2016,6.8,65,57728,68.0
Jackie,2016,6.7,81,57147,67.0
A Cure for Wellness,2016,6.4,47,56132,64.0
Ah-ga-ssi,2016,8.1,84,55197,81.0
Trolls,2016,6.5,56,54786,65.0
Underworld: Blood Wars,2016,5.8,23,54750,58.0
Café Society,2016,6.6,64,54671,66.0
The Infiltrator,2016,7.0,66,54438,70.0
Triple 9,2016,6.3,52,54377,63.0
Zoolander 2,2016,4.7,34,54183,47.0
The Lost City of Z,2016,6.6,78,52584,66.0
Bridget Jones's Baby,2016,6.6,59,51855,66.0
The Finest Hours,2016,6.8,58,50624,68.0
Office Christmas Party,2016,5.8,42,47074,58.0
Blood Father,2016,6.4,66,46785,64.0
Elle,2016,7.2,89,46601,72.0
Criminal,2016,6.3,36,45361,63.0
Keeping Up with the Joneses,2016,5.9,34,44639,59.0
Storks,2016,6.8,56,44276,68.0
Paterson,2016,7.4,90,43992,74.0
Pete's Dragon,2016,6.7,71,43800,67.0
Ride Along 2,2016,5.9,32,42821,59.0
Everybody Wants Some!!,2016,7.0,83,42752,70.0
Whiskey Tango Foxtrot,2016,6.6,57,41366,66.0
Ice Age: Collision Course,2016,5.7,34,41328,57.0
Gold,2016,6.7,49,41164,67.0
Live by Night,2016,6.4,49,40021,64.0
Pride and Prejudice and Zombies,2016,5.8,45,40009,58.0
Colossal,2016,6.2,70,39986,62.0
Ouija: Origin of Evil,2016,6.1,65,39334,61.0
The Fundamentals of Caring,2016,7.3,55,39196,73.0
Florence Foster Jenkins,2016,6.9,71,38902,69.0
Popstar: Never Stop Never Stopping,2016,6.7,68,38464,67.0
Masterminds,2016,5.8,47,38057,58.0
Miss Sloane,2016,7.5,64,37869,75.0
The Girl with All the Gifts,2016,6.7,67,37706,67.0
Free State of Jones,2016,6.9,53,37509,69.0
The Light Between Oceans,2016,7.2,60,37408,72.0
Keanu,2016,6.3,63,36408,63.0
"I, Daniel Blake",2016,7.9,78,35969,79.0
Grave,2016,7.0,81,34730,70.0
Ben-Hur,2016,5.7,38,34004,57.0
The Boss,2016,5.4,40,33298,54.0
Imperium,2016,6.5,68,32998,65.0
Toni Erdmann,2016,7.5,93,32864,75.0
Forushande,2016,7.9,85,32716,79.0
The Forest,2016,4.8,34,32383,48.0
Anthropoid,2016,7.2,59,32234,72.0
Blair Witch,2016,5.0,47,32098,50.0
A Hologram for the King,2016,6.1,58,31311,61.0
Morgan,2016,5.8,48,30332,58.0
The Belko Experiment,2016,6.1,44,29593,61.0
Free Fire,2016,6.4,63,28618,64.0
The Do-Over,2016,5.7,22,28347,57.0
Race,2016,7.1,56,27431,71.0
Bastille Day,2016,6.3,48,26044,63.0
American Honey,2016,7.0,79,26015,70.0
Gok-seong,2016,7.4,81,25622,74.0
Before I Wake,2016,6.2,68,25315,62.0
The Choice,2016,6.6,26,25257,66.0
20th Century Women,2016,7.4,83,25164,74.0
Logan,2017,8.1,77,453635,81.0
Wonder Woman,2017,7.5,76,379292,75.0
Dunkirk,2017,8.0,94,352965,80.0
Guardians of the Galaxy Vol. 2,2017,7.7,67,344470,77.0
Star Wars: Episode VIII - The Last Jedi,2017,7.5,85,318251,75.0
Spider-Man: Homecoming,2017,7.5,73,284418,75.0
Baby Driver,2017,7.7,86,270641,77.0
Get Out,2017,7.7,84,261623,77.0
Blade Runner 2049,2017,8.2,81,250161,82.0
Thor: Ragnarok,2017,8.0,74,249981,80.0
It,2017,7.5,69,249495,75.0
John Wick: Chapter 2,2017,7.5,75,216713,75.0
Justice League,2017,6.8,45,200968,68.0
Beauty and the Beast,2017,7.3,65,199102,73.0
Kong: Skull Island,2017,6.7,62,195143,67.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.7,39,183688,67.0
Kingsman: The Golden Circle,2017,6.9,44,159808,69.0
War for the Planet of the Apes,2017,7.5,82,157864,75.0
The Fate of the Furious,2017,6.7,56,154166,67.0
Life,2017,6.6,54,149789,66.0
Ghost in the Shell,2017,6.4,52,145153,64.0
King Arthur: Legend of the Sword,2017,6.8,41,139213,68.0
"Three Billboards Outside Ebbing, Missouri",2017,8.3,88,135103,83.0
The Mummy,2017,5.5,34,124048,55.0
The Hitman's Bodyguard,2017,6.9,47,117012,69.0
Bright,2017,6.4,29,113901,64.0
Coco,2017,8.6,81,108811,86.0
Atomic Blonde,2017,6.7,63,108115,67.0
Mother!,2017,6.7,75,103230,67.0
Valerian and the City of a Thousand Planets,2017,6.5,51,102702,65.0
Wind River,2017,7.8,73,102443,78.0
Murder on the Orient Express,2017,6.6,52,99013,66.0
The LEGO Batman Movie,2017,7.3,75,94938,73.0
The Shape of Water,2017,7.8,87,93770,78.0
Baywatch,2017,5.6,37,93329,56.0
Transformers: The Last Knight,2017,5.2,27,91094,52.0
American Made,2017,7.2,65,86167,72.0
The Dark Tower,2017,5.7,34,81657,57.0
T2 Trainspotting,2017,7.3,67,77253,73.0
Power Rangers,2017,6.0,44,77096,60.0
Jumanji: Welcome to the Jungle,2017,7.2,58,75884,72.0
The Big Sick,2017,7.6,86,74278,76.0
The Boss Baby,2017,6.3,50,72233,63.0
The Greatest Showman,2017,8.0,48,71113,80.0
Logan Lucky,2017,7.1,78,69413,71.0
Fifty Shades Darker,2017,4.6,33,67760,46.0
xXx: Return of Xander Cage,2017,5.2,42,67103,52.0
Despicable Me 3,2017,6.3,49,66473,63.0
Lady Bird,2017,7.7,94,66017,77.0
Annabelle: Creation,2017,6.6,62,64922,66.0
Call Me by Your Name,2017,8.2,93,62326,82.0
Gifted,2017,7.6,60,60726,76.0
Darkest Hour,2017,7.4,75,57022,74.0
The Circle,2017,5.3,43,56936,53.0
Okja,2017,7.4,75,55678,74.0
Death Note,2017,4.6,43,55116,46.0
What Happened to Monday,2017,6.9,47,54747,69.0
The Foreigner,2017,7.1,55,52852,71.0
Going in Style,2017,6.6,50,51926,66.0
The Disaster Artist,2017,7.7,76,51558,77.0
Wonder,2017,8.0,66,49904,80.0
It Comes at Night,2017,6.2,78,49895,62.0
Geostorm,2017,5.4,21,49242,54.0
Happy Death Day,2017,6.5,57,46742,65.0
The Killing of a Sacred Deer,2017,7.1,73,46684,71.0
The Post,2017,7.3,83,43785,73.0
A Dog's Purpose,2017,6.9,43,41672,69.0
Shot Caller,2017,7.4,59,41008,74.0
Cars 3,2017,6.8,59,40131,68.0
American Assassin,2017,6.2,45,39655,62.0
Gerald's Game,2017,6.7,77,39389,67.0
"I, Tonya",2017,7.6,77,38449,76.0
Jigsaw,2017,5.9,39,36442,59.0
The Emoji Movie,2017,3.0,12,35371,30.0
The Mountain Between Us,2017,6.4,48,34772,64.0
Molly's Game,2017,7.6,71,32093,76.0
The Space Between Us,2017,6.4,33,31881,64.0
Good Time,2017,7.4,80,30883,74.0
The Beguiled,2017,6.4,77,30865,64.0
A Ghost Story,2017,6.9,84,30493,69.0
The Snowman,2017,5.1,23,30008,51.0
Phantom Thread,2017,7.9,90,28958,79.0
Before I Fall,2017,6.4,58,28791,64.0
Rings,2017,4.5,25,28657,45.0
The Florida Project,2017,7.7,92,28536,77.0
Rough Night,2017,5.2,51,28422,52.0
CHIPS,2017,6.0,28,28202,60.0
War Machine,2017,6.0,56,27970,60.0
Fist Fight,2017,5.6,37,27710,56.0
47 Meters Down,2017,5.7,52,27470,57.0
I Don't Feel at Home in This World Anymore.,2017,7.0,75,26422,70.0
Detroit,2017,7.4,77,25998,74.0
Brawl in Cell Block 99,2017,7.2,79,25975,72.0
Battle of the Sexes,2017,6.8,73,25828,68.0
To the Bone,2017,6.9,64,24460,69.0
Downsizing,2017,5.7,63,24231,57.0
Snatched,2017,4.4,45,22896,44.0
The Zookeeper's Wife,2017,7.0,57,22787,70.0
Jungle,2017,6.7,48,22571,67.0
Kidnap,2017,5.9,44,22277,59.0
Daddy's Home 2,2017,6.0,30,21339,60.0
The Square,2017,7.5,72,21078,75.0
The House,2017,5.6,30,20973,56.0
1922,2017,6.3,70,20953,63.0
Flatliners,2017,5.2,27,20762,52.0
Sleepless,2017,5.6,34,20623,56.0
The Meyerowitz Stories (New and Selected),2017,7.0,79,20585,70.0
The Shack,2017,6.3,32,20351,63.0
Loving Vincent,2017,7.9,62,20306,79.0
The Ottoman Lieutenant,2017,6.8,26,20257,68.0
Stronger,2017,7.0,76,19619,70.0
The Discovery,2017,6.3,55,19531,63.0
Only the Brave,2017,7.8,72,19398,78.0
Girls Trip,2017,6.3,71,19030,63.0
Mudbound,2017,7.5,85,18883,75.0
The Ritual,2017,6.3,57,18253,63.0
A Bad Moms Christmas,2017,5.5,42,17372,55.0
"Everything, Everything",2017,6.4,52,17203,64.0
Captain Underpants: The First Epic Movie,2017,6.2,69,16651,62.0
Table 19,2017,5.8,40,16305,58.0
Ingrid Goes West,2017,6.7,71,16164,67.0
The Wall,2017,6.2,57,15623,62.0
Victoria & Abdul,2017,6.8,58,15280,68.0
All the Money in the World,2017,7.1,72,15257,71.0
Unlocked,2017,6.2,46,15011,62.0
Suburbicon,2017,5.5,42,14828,55.0
Pitch Perfect 3,2017,6.1,40,14655,61.0
All Eyez on Me,2017,5.8,38,14159,58.0
Berlin Syndrome,2017,6.3,70,13975,63.0
Paddington 2,2017,8.2,88,13959,82.0
Home Again,2017,5.7,41,13483,57.0
Aftermath,2017,5.7,44,13423,57.0
Megan Leavey,2017,7.1,66,13241,71.0
The Glass Castle,2017,7.2,56,13180,72.0
iBoy,2017,6.0,50,13165,60.0
The Bye Bye Man,2017,4.3,37,13096,43.0
Icarus,2017,8.0,68,13030,80.0
